"cod_ass";"nome";"ativo";"mostra_sigcam";"mostra_agendamento";"prazo_previsto";"ativo_online";"codigo_rg";"descricao_online";"tipo_requerente";"proc_automatico";"departamento"
"11";"Inclusão de Responsavel Tecnico/Integrante";"S";"S";"N";"05 (cinco) dias úteis, após o pagamento da ART de Cargo/Função, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado.";"S";"15";"Inclusão de Responsabilidade Técnica do quadro técnico de pessoa Jurídica";"P,";"N";
"12";"Liberação de ART";"S";"S";"N";"Prazo: Variável";"S";"26";"Incorporar a seu acervo, ART não registrada antes do início da atividade";"P,";"N";"11"
"13";"Liberação de ART c/ CAT";"S";"S";"N";"Prazo: Variável";;"0";;;"N";"5049"
"14";"Recadastramento de Profissional";"S";"S";"N";"03 (três) dias úteis.";"S";"812";"Profissionais que ainda não se Recadastraram e não possuem RNP (Registro Nacional Profissional)";"P,L,";"N";"9"
"15";"Registro de Consórcio";"S";"N";"N";"05 (cinco) dias úteis, após o registro da ART de Cargo/Função, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado.reinicia após sanadas as pendências)";"S";"829";"Registro de Consórcio";"E,";"N";"5098"
"16";"Registro de Pessoa Jurídica";"S";"S";"N";"5 (cinco) dias após a confirmação do Pagamento de todas as ARTs. Obs.: O Boleto bancário referente ao Pagto das ARTs serão liberados após o deferimento do Processo.";"S";"822";"Registro de Pessoa Jurídica";"E,";"N";"5098"
"17";"Revisão de Atribuições";"S";"S";"N";"30 (trinta) dias úteis, podendo ser alterado caso seja solicitado providências  adicionais ao Requerente ou se necessitar de análise pelo Colegiado.";"S";"806";"Revisão de Atribuições Profissionais";"P,";"N";"9"
"18";"Segunda Via de Carteira";"S";"S";"N";"15 dias úteis";"S";"800";"Expedição de Segunda via de Carteira Profissional";"P,";"N";"9"
"19";"Taxa Especial p/ ART";"S";"S";"N";"03 (três) dias úteis, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar de análise pelo Colegiado.";;"0";;;"N";"11"
"20";"Cancelamento de ART";"S";"S";"N";NULL;;"0";;;"N";"11"
"21";"Processo Ético Disciplinar";"S";"S";"N";NULL;;"0";;;"N";"5003"
"22";"Diversos - Registro";"S";"S";"N";NULL;;"0";;;"N";"5050"
"23";"Certidão Negativa de Obras/Serviços Anotados";"S";"N";"N";"05 (cinco) dias úteis.";"S";"23";"Certidão Negativa de Obras/Serviços";"P,E,";"N";"11"
"24";"Certidão de Obras/Serviços Anotados";"S";"N";"N";"05 (cinco) dias úteis para certidões contendo até 20 (vinte) ARTs; 07 (sete) dias úteis para certidões contendo mais de 20 (vinte) ARTs até o limite de 100 (cem) ARTs; 15 (quinze) dias úteis para certidões contendo mais de 100 (cem) ARTs; ou 30 (trinta) dias úteis para certidões contendo ARTs microfilmadas";"S";"21";"Certidão contendo as ARTs das Obras/Serviço de um determinado período";"P,E,";"N";"11"
"25";"Certidão Específica de Obras";"S";"S";"N";"07 (sete) dias úteis";"S";"28";"Certidão específica para determinada finalidade";"P,E,";"N";"11"
