CREA-GO  |  Mapeamento de Assuntos do MED → Tabela de Temporalidade e Destinação (TTDD),,,,,,,,,
Versão de referência TTDD: Atividades-Meio (2024) e Atividades-Fim (2019)  |  Elaborado por: Erica Aihara — DPO/CREA-GO  |  Versão 3 — Março 2026,,,,,,,,,
ASSUNTO (MED),"CÓDIGO
TTDD","TABELA
(Meio/Fim)",DESCRITOR TTDD,PRAZO CORRENTE,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DO INTERMEDIÁRIO",PRAZO INTERMEDIÁRIO,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DA ELIMINAÇÃO",DESTINAÇÃO FINAL,OBSERVAÇÃO / VALIDAÇÃO DPO
Certidão Negativa de Obras/Serviços Em Andamento,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Chamamento Público,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Cobrança de Anuidades,052.211,Meio,RECEITA CORRENTE,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Complementação de Taxa de ART,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Conciliação,322,Fim,DESCUMPRIMENTO DE OUTROS DISPOSITIVOS LEGAIS,Até a conclusão administrativa ou trânsito em julgado,Data de conclusão/trânsito em julgado do processo,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Concorrência,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação de Estagiários,024.51,Meio,RELAÇÃO COM INSTITUIÇÕES DE ENSINO E AGENTES DE INTEGRAÇÃO,Fim da vigência do convênio com a instituição de ensino*,Data de fim da vigência do convênio com a instituição de ensino,2 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrente encerra com fim da vigência do convênio (não do estágio individual). TTDD Meio 2024, código 024.51."
Contratação Direta - Aquisição,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação Direta - Dispensa,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação Direta - Dispensa Eletrônica,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação Direta - Diversos,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação Direta - Inexigibilidade,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação Direta - Manutenção,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Contratação Direta - Serviços,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Convênio,001,Meio,RELAÇÃO INTERINSTITUCIONAL,Até encerramento definitivo*,Data de encerramento definitivo (sem renovação),20 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Convênio de Repasse de ARTS,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de encerramento definitivo (sem renovação),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Cópia de ART,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Com valor previdenciário: 52 anos.
Cópia de Contrato de Trabalho,023.6,Meio,AUXÍLIOS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, grupo 023.6)."
Credenciamento,403,Fim,CREDENCIAMENTO DE PROFISSIONAIS E INSTITUIÇÕES,Até o cancelamento do credenciamento,Data de cancelamento do credenciamento,10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Declaração de ART,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Com valor previdenciário: 52 anos.
Denúncia,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Depósitos Cartorários,052.222,Meio,DESPESA DE CAPITAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Desconto em Anuidade de Profissional,051.3,Meio,EXECUÇÃO ORÇAMENTÁRIA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Deslocamento,028.11,Meio,COM ÔNUS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Confirmado TTDD Meio 2024: intermediário 5 anos (código 028.11).
Devolução de Taxa,051.3,Meio,EXECUÇÃO ORÇAMENTÁRIA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Devolução de Taxa - SOEA,051.3,Meio,EXECUÇÃO ORÇAMENTÁRIA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
